rebalance_frequency,total_return,cagr,annualized_vol,sharpe,sortino,max_drawdown,max_drawdown_duration_days,calmar,avg_turnover_per_rebalance,total_turnover
weekly,-0.22157471141339602,-0.010388381369990318,0.059511303079753976,-0.1397077415560602,-0.22781407666108888,-0.36668218641388584,3245,-0.02833075004703016,0.4231503333729037,529.7842173828755
daily,-0.21394458157793061,-0.009985863845373588,0.05876530139897997,-0.13555095280770327,-0.22359391442806623,-0.3405034011679472,5734,-0.029326766813845245,0.20506196534839471,1283.4828411156025
