excluded_asset_class,total_return,cagr,annualized_vol,sharpe,sortino,max_drawdown,max_drawdown_duration_days,calmar,avg_turnover_per_rebalance,total_turnover
none,0.33351363811132306,0.01207151093775849,0.0573188809093075,0.23082948940633977,0.3742897627054586,-0.1484239272517096,1605,0.08133129988729257,0.3932675656643405,492.37099221175436
equity_index,0.6196766365288184,0.020307690263564604,0.04665110415614883,0.43951853817151126,0.7266980935859078,-0.16518267475603243,1605,0.12294080050197863,0.26101690402213557,326.7931638357137
rates,0.05405623834636386,0.002197237534003582,0.05556160270684246,0.06592788881414366,0.10648361202161591,-0.1920274347529971,2667,0.011442310505422654,0.31357184297568574,392.5919474055586
fx,0.10972932556087844,0.004350082382400755,0.054724549498714144,0.10396067295571208,0.1683363086587091,-0.25134739257508554,2672,0.01730705195639237,0.2934413072259896,367.38851664693897
commodities,0.24392420169996565,0.009141347178574621,0.038169280187886644,0.24932336832555307,0.4044115488438613,-0.10999537636763745,1037,0.08310664939243904,0.25799688584524627,323.01210107824835
