period,n_days,total_return,cagr,annualized_vol,sharpe,sortino,max_drawdown,max_drawdown_duration_days,calmar
2000-12-31,260,-0.002092357470248829,-0.002116964395636245,0.005245105907168306,-0.3859247583559946,-0.07377068286567873,-0.0060462218746732965,2,-0.3501301208451987
2001-12-31,261,0.11702771195843731,0.1174523219723802,0.06085627033993481,1.7932760307446165,3.29513283030399,-0.05347248068100319,113,2.1965003395495493
2002-12-31,261,-0.07631534864231304,-0.07656712164485768,0.0619298205137411,-1.2113633129381651,-2.028755059503611,-0.09656453217707628,110,-0.7929114336146927
2003-12-31,261,-0.00983055710108649,-0.00986414883228115,0.05995327030680116,-0.1298436251418714,-0.2089205273818099,-0.0601380455293935,73,-0.16402509834576978
2004-12-31,262,-0.06267452008084717,-0.06271607265576895,0.061927518718914464,-0.9781570240985419,-1.6445985103550405,-0.11078952563871647,238,-0.5660830506692973
2005-12-31,260,0.06765070926261507,0.06847382043634909,0.06045682848978971,1.0837296383370045,2.006610829025647,-0.05130719691784891,127,1.3345850981878178
2006-12-31,260,-0.09493524143147825,-0.09599746028256084,0.06368367700225604,-1.4919445289815019,-2.271539804883006,-0.1423326119556363,208,-0.6744586427774004
2007-12-31,261,0.09933352321210487,0.09969110677089099,0.05986056693358896,1.5634761875756633,2.9848361024580328,-0.0326790842124729,95,3.050608949832231
2008-12-31,262,0.04005439684170975,0.04008237398061221,0.06337476735704789,0.6299325924013195,1.0368041877403245,-0.041196621712147996,109,0.9729529343614304
2009-12-31,261,-0.01906687287395148,-0.019131719403640224,0.05721444978466737,-0.2976124602456272,-0.49591045901664177,-0.05507216072075971,133,-0.3473936586698773
2010-12-31,261,0.033696102337124945,0.03381375169902223,0.058743884556187564,0.5760842577045634,0.9567413925156041,-0.06434648570671297,112,0.5254949252884311
2011-12-31,260,0.007259514665774125,0.00734529298834441,0.057983197195387234,0.15026038592415947,0.23546543281523963,-0.08920985741217125,115,0.08233723493590366
2012-12-31,261,-0.006258528931761376,-0.0062799535062814105,0.06068990918449173,-0.07002993943611834,-0.11573565056476995,-0.07948893133519641,151,-0.07900412549012027
2013-12-31,261,0.032855332579662555,0.03296999984125337,0.0620986404792131,0.5355203701004995,0.9089798624366877,-0.06070407249656962,164,0.5431266550216463
2014-12-31,261,-0.042319424491627955,-0.04246162221495997,0.06231492207907257,-0.6414434609252929,-0.9620549894466445,-0.061810406232895576,259,-0.6869655904698106
2015-12-31,261,-0.00787401829539347,-0.007900951090969,0.0643761583499309,-0.08695254641233274,-0.14301754527742067,-0.0690348929865956,99,-0.1144486613820509
2016-12-31,261,-0.10539820082209228,-0.10574029777954996,0.06438627636624075,-1.6441652025149271,-2.8181860307275763,-0.1187735040643354,259,-0.8902684029787838
2017-12-31,260,-0.051733503900583955,-0.0523263363617239,0.05512237669162116,-0.9100885252142256,-1.5778290863776125,-0.05250220057408106,256,-0.9966503458819976
2018-12-31,261,-0.02727374264542337,-0.027366109090643742,0.06192109312281554,-0.40196586564254694,-0.6771096512851954,-0.07187859548237385,114,-0.38072682009144837
2019-12-31,261,0.006515201659707204,0.0065376482686616555,0.05800976639915106,0.13739966738542894,0.23644611931438664,-0.059941410427743924,159,0.10906730792633636
2020-12-31,262,-0.10338185550482737,-0.10344886919471585,0.0651888081535327,-1.5834461790660794,-2.535211560230821,-0.14235891561974,234,-0.7266764343094733
2021-12-31,261,-0.0244952913673524,-0.024578367505706744,0.05764578468025418,-0.3882468888661655,-0.6557212412935689,-0.09316700220352414,246,-0.2638097923556141
2022-12-31,260,0.0090712122733132,0.009178494944002136,0.05985931276255654,0.17660333916234972,0.2899262558658401,-0.06122609823925984,152,0.14991147905806995
2023-12-31,260,0.018784023986947007,0.01900725407680448,0.05897369472068703,0.3364092961253061,0.5802196435471564,-0.06470234587772283,153,0.29376452768382116
