cost_scenario,total_return,cagr,annualized_vol,sharpe,sortino,max_drawdown,max_drawdown_duration_days,calmar,avg_turnover_per_rebalance,total_turnover
base,-0.22157471141339602,-0.010388381369990318,0.059511303079753976,-0.1397077415560602,-0.22781407666108888,-0.36668218641388584,3245,-0.02833075004703016,0.4231503333729037,529.7842173828755
stress_2x,-0.28006535596824633,-0.013605857753061446,0.05951683552726054,-0.19252805042270496,-0.31358274258306446,-0.40563602497664364,5558,-0.033542035014875383,0.4231503333729037,529.7842173828755
stress_3x,-0.3341619113845552,-0.016812927514347376,0.05952604559001767,-0.24531993944485272,-0.399102535647833,-0.44339299667789733,5558,-0.03791879357661826,0.4231503333729037,529.7842173828755
