vol_window_days,total_return,cagr,annualized_vol,sharpe,sortino,max_drawdown,max_drawdown_duration_days,calmar,avg_turnover_per_rebalance,total_turnover
40,-0.22306666161779654,-0.010467528993066355,0.059523708842804356,-0.1409636738477214,-0.22952406491285832,-0.3664640771208332,3245,-0.028563588211171175,0.4289176556279149,537.0049048461494
50,-0.22197534664499974,-0.01040962069228557,0.05951752807779727,-0.14003508621312813,-0.22826814664098485,-0.36649762124325924,3245,-0.028402969320710233,0.4254634527943283,532.680242898499
60,-0.22157471141339602,-0.010388381369990318,0.059511303079753976,-0.1397077415560602,-0.22781407666108888,-0.36668218641388584,3245,-0.02833075004703016,0.4231503333729037,529.7842173828755
75,-0.22113370900624696,-0.010365014126225813,0.05950305045324641,-0.13935222295449926,-0.22730260717695766,-0.36696265742944556,3245,-0.02824541929915213,0.42076311398554794,526.795418709906
90,-0.2208186245588799,-0.01034832661871199,0.05949748587834588,-0.13909717387551623,-0.2269871273927842,-0.367204152796495,3245,-0.028181398657675435,0.41917822358629836,524.8111359300456
