lookback_days,total_return,cagr,annualized_vol,sharpe,sortino,max_drawdown,max_drawdown_duration_days,calmar,avg_turnover_per_rebalance,total_turnover
"(42, 84, 168)",-0.08105557338509795,-0.003517875726564368,0.05905723835505631,-0.02810764714789223,-0.046737105373354786,-0.32776017790559475,2612,-0.010733078524193463,0.5121121308684137,641.1643878472539
"(52, 105, 210)",-0.12652314522693975,-0.005623745913396316,0.05855826817368944,-0.0637362584935933,-0.10619873747625885,-0.3551710013027529,2781,-0.01583391068743969,0.4588734405842801,574.5095476115187
"(63, 126, 252)",-0.22157471141339602,-0.010388381369990318,0.059511303079753976,-0.1397077415560602,-0.22781407666108888,-0.36668218641388584,3245,-0.02833075004703016,0.4231503333729037,529.7842173828755
"(75, 150, 300)",-0.05776552792182843,-0.0024775543062681704,0.058607134814890015,-0.011573849070737748,-0.018460792965752208,-0.2917945763100537,2533,-0.00849074831204396,0.37787558893197803,473.1002373428365
"(84, 168, 336)",0.006626720203903647,0.00027539747665872305,0.05794825548946261,0.033558117190394206,0.05424716119579259,-0.18629328993732952,3010,0.0014783005697702203,0.36839319370773194,461.22827852208036
