excluded_symbol,total_return,cagr,annualized_vol,sharpe,sortino,max_drawdown,max_drawdown_duration_days,calmar,avg_turnover_per_rebalance,total_turnover
none,0.33351363811132306,0.01207151093775849,0.0573188809093075,0.23082948940633977,0.3742897627054586,-0.1484239272517096,1605,0.08133129988729257,0.3932675656643405,492.37099221175436
EQUITY_INDEX_0,0.29940578432327625,0.010978852769476521,0.05992141583869855,0.20593792546219775,0.3354336800249805,-0.17368314951037023,1632,0.06321196270580641,0.3911467088318036,489.7156794574181
EQUITY_INDEX_1,0.2710688620381143,0.0100499591770431,0.05938738978442412,0.19230716447518964,0.3133724394646633,-0.17040278187525637,1558,0.05897767082464762,0.38698646460948344,484.5070536910733
EQUITY_INDEX_2,0.3484643834929808,0.012542044716623346,0.06015753206435013,0.2301714344694209,0.3735531254686004,-0.17899374995697204,1583,0.07006973550550398,0.38585859777910025,483.09496441943355
EQUITY_INDEX_3,0.2772103247151858,0.010252951065030214,0.05983837618647159,0.194548473827195,0.31553968525699994,-0.17845087001176785,2549,0.05745531565272889,0.3825533175334502,478.9567535518796
RATES_0,0.3938497745696097,0.013940401050464013,0.05779854555371901,0.260218553058054,0.4222120410659619,-0.15985440232363402,1560,0.08720686354474558,0.38554007565986564,482.6961747261518
RATES_1,0.3981353508483767,0.01407017969400437,0.057836743753637586,0.26222228061546016,0.4225962623172602,-0.1358750073115088,1560,0.10355237488044355,0.3841212369553394,480.9197886680849
RATES_2,0.25235562535488665,0.009425589664752598,0.057917072535659024,0.18538796195392523,0.3015337787676507,-0.1545032729616621,2220,0.06100576048697318,0.39242033570340396,491.31026030066175
RATES_3,0.2993888236657112,0.010978302621877711,0.05774060732202969,0.21148709482446193,0.343861097958618,-0.15375662104328236,2541,0.07140051951835835,0.38719251749907546,484.7650319088425
FX_0,0.2708273820581619,0.010041958421735053,0.05820599798509704,0.19488417600578084,0.3164859406698553,-0.16995599878599033,2533,0.05908563683227181,0.38832937983229465,486.1883835500329
FX_1,0.29740281941039304,0.010913835588977294,0.058083556883629414,0.20952045432198196,0.33899299446965786,-0.1733897707738299,2015,0.06294394150398487,0.38516676893217594,482.2287947030843
FX_2,0.3380633465458509,0.012215233472263609,0.058271685365573644,0.23035386287999018,0.3743784846708643,-0.167208308614202,1605,0.07305398621337467,0.38911350575512477,487.1701092054162
FX_3,0.363183025966727,0.013000415250245645,0.05790875549543802,0.24436501208814973,0.3939464864986269,-0.1437489042961012,2061,0.09043836065328704,0.3832757109615475,479.86119012385745
COMMODITIES_0,0.3085772871890142,0.011275342608733308,0.061268697455208805,0.20736560546237745,0.33530178960155127,-0.2146972067501629,2208,0.05251741640893403,0.38954080477307185,487.70508757588595
COMMODITIES_1,0.35504561289662373,0.012747588142074662,0.06065757295304661,0.23200269290590864,0.3738332734551142,-0.19443515735917505,1522,0.06556215612038913,0.38228400656485717,478.6195762192012
COMMODITIES_2,0.26540059684769135,0.009861771933697527,0.06062158989174172,0.18664024607160723,0.30529192775647396,-0.18574320090623908,1751,0.053093582352312485,0.3835149698393861,480.1607422389114
COMMODITIES_3,0.3668924498554935,0.013115186429136116,0.0609592595577,0.23690670092775104,0.38153804909436073,-0.19385405223498897,2055,0.06765495112394117,0.3846750208694986,481.61312612861224
